"index,Date,Value,Sentiment,BTC_Closing,BTC_Volume,Sentiment_Group"
"0,2018-02-01,30.0,Fear,9170.5400390625,9959400448,Fear"
"1,2018-02-02,15.0,Extreme Fear,8830.75,12726899712,Fear"
"2,2018-02-03,40.0,Fear,9174.91015625,7263790080,Fear"
"3,2018-02-04,24.0,Extreme Fear,8277.009765625,7073549824,Fear"
"4,2018-02-05,11.0,Extreme Fear,6955.27001953125,9285289984,Fear"
"5,2018-02-06,8.0,Extreme Fear,7754.0,13999800320,Fear"
"6,2018-02-07,36.0,Fear,7621.2998046875,9169280000,Fear"
"7,2018-02-08,30.0,Fear,8265.58984375,9346750464,Fear"
"8,2018-02-09,44.0,Fear,8736.98046875,6784820224,Fear"
"9,2018-02-10,54.0,Neutral,8621.900390625,7780960256,Neutral"
"10,2018-02-11,31.0,Fear,8129.97021484375,6122189824,Fear"
"11,2018-02-12,42.0,Fear,8926.5703125,6256439808,Fear"
"12,2018-02-13,35.0,Fear,8598.3095703125,5696719872,Fear"
"13,2018-02-14,55.0,Greed,9494.6298828125,7909819904,Greed"
"14,2018-02-15,71.0,Greed,10166.400390625,9062540288,Greed"
"15,2018-02-16,67.0,Greed,10233.900390625,7296159744,Greed"
"16,2018-02-17,74.0,Greed,11112.7001953125,8660880384,Greed"
"17,2018-02-18,63.0,Greed,10551.7998046875,8744009728,Greed"
"18,2018-02-19,67.0,Greed,11225.2998046875,7652089856,Greed"
"19,2018-02-20,74.0,Greed,11403.7001953125,9926540288,Greed"
"20,2018-02-21,54.0,Neutral,10690.400390625,9405339648,Neutral"
"21,2018-02-22,44.0,Fear,10005.0,8040079872,Fear"
"22,2018-02-23,39.0,Fear,10301.099609375,7739500032,Fear"
"23,2018-02-24,31.0,Fear,9813.0703125,6917929984,Fear"
"24,2018-02-25,33.0,Fear,9664.73046875,5706939904,Fear"
"25,2018-02-26,37.0,Fear,10366.7001953125,7287690240,Fear"
"26,2018-02-27,44.0,Fear,10725.599609375,6966179840,Fear"
"27,2018-02-28,41.0,Fear,10397.900390625,6936189952,Fear"
"28,2018-03-01,38.0,Fear,10951.0,7317279744,Fear"
"29,2018-03-02,47.0,Neutral,11086.400390625,7620590080,Neutral"
"30,2018-03-03,56.0,Greed,11489.7001953125,6690570240,Greed"
"31,2018-03-04,44.0,Fear,11512.599609375,6084149760,Fear"
"32,2018-03-05,55.0,Greed,11573.2998046875,6468539904,Greed"
"33,2018-03-06,59.0,Greed,10779.900390625,6832169984,Greed"
"34,2018-03-07,37.0,Fear,9965.5703125,8797910016,Fear"
"35,2018-03-08,39.0,Fear,9395.009765625,7186089984,Fear"
"36,2018-03-09,37.0,Fear,9337.5498046875,8704190464,Fear"
"37,2018-03-10,39.0,Fear,8866.0,5386319872,Fear"
"38,2018-03-11,40.0,Fear,9578.6298828125,6296370176,Fear"
"39,2018-03-12,41.0,Fear,9205.1201171875,6457399808,Fear"
"40,2018-03-13,41.0,Fear,9194.849609375,5991139840,Fear"
"41,2018-03-14,40.0,Fear,8269.8095703125,6438230016,Fear"
"42,2018-03-15,32.0,Fear,8300.8603515625,6834429952,Fear"
"43,2018-03-16,33.0,Fear,8338.349609375,5289379840,Fear"
"44,2018-03-17,31.0,Fear,7916.8798828125,4426149888,Fear"
"45,2018-03-18,29.0,Fear,8223.6796875,6639190016,Fear"
"46,2018-03-19,29.0,Fear,8630.650390625,6729110016,Fear"
"47,2018-03-20,37.0,Fear,8913.4697265625,6361789952,Fear"
"48,2018-03-21,36.0,Fear,8929.2802734375,6043129856,Fear"
"49,2018-03-22,36.0,Fear,8728.4697265625,5530390016,Fear"
"50,2018-03-23,28.0,Fear,8879.6201171875,5954120192,Fear"
"51,2018-03-24,32.0,Fear,8668.1201171875,5664600064,Fear"
"52,2018-03-25,30.0,Fear,8495.7802734375,4569880064,Fear"
"53,2018-03-26,31.0,Fear,8209.400390625,5921039872,Fear"
"54,2018-03-27,24.0,Extreme Fear,7833.0400390625,5378250240,Fear"
"55,2018-03-28,24.0,Extreme Fear,7954.47998046875,4935289856,Fear"
"56,2018-03-29,18.0,Extreme Fear,7165.7001953125,6361229824,Fear"
"57,2018-03-30,12.0,Extreme Fear,6890.52001953125,6289509888,Fear"
"58,2018-03-31,16.0,Extreme Fear,6973.52978515625,4553269760,Fear"
"59,2018-04-01,16.0,Extreme Fear,6844.22998046875,4532100096,Fear"
"60,2018-04-02,11.0,Extreme Fear,7083.7998046875,4333440000,Fear"
"61,2018-04-03,22.0,Extreme Fear,7456.10986328125,5499700224,Fear"
"62,2018-04-04,22.0,Extreme Fear,6853.83984375,4936000000,Fear"
"63,2018-04-05,17.0,Extreme Fear,6811.47021484375,5639320064,Fear"
"64,2018-04-06,19.0,Extreme Fear,6636.31982421875,3766810112,Fear"
"65,2018-04-07,20.0,Extreme Fear,6911.08984375,3976610048,Fear"
"66,2018-04-08,17.0,Extreme Fear,7023.52001953125,3652499968,Fear"
"67,2018-04-09,21.0,Extreme Fear,6770.72998046875,4894060032,Fear"
"68,2018-04-10,18.0,Extreme Fear,6834.759765625,4272750080,Fear"
"69,2018-04-11,20.0,Extreme Fear,6968.31982421875,4641889792,Fear"
